x(mm);GdB;err
0;51.2;0.2
0.5;50.6;0.3
1;50.3;0.2
1.5;49.7;0.3
2;49.7;0.3
2.5;49.9;0.3
3;50.4;0.3
3.5;50.8;0.2
4;51.3;0.2
4.5;51.5;0.2
5;51.5;0.2
5.5;51.3;0.2
6;50.9;0.2
6.5;50;0.3
7;49.5;0.3
7.5;48.9;0.3
8;47.5;0.4
9;44.4;0.4
-0.5;51.8;0.2
-1;52;0.2
-1.5;52.2;0.2
-2;52;0.2
-2.5;51.5;0.3
-3;50.7;0.2
-3.5;50.2;0.3
-4;49.3;0.3
-4.5;48.1;0.3
-5;46.2;0.4
-5.5;44.6;0.4
