x(mm);Gdb;err
0.5;66.46;0.03
1;65.63;0.03
1.5;63.95;0.03
2;62.08;0.04
2.5;60.07;0.06
3;57.62;0.08
3.5;55.1;0.09
4;52.16;0.12
4.5;49.42;0.2
5;46.7;0.3
5.5;43.5;0.3
6;44.3;0.4
6.5;44.8;0.4
7;42.4;0.4
7.5;37;0.9
8;29;1
8.5;32;1.4
9;25;2
9.5;22;3
0;66.98;0.03
-0.5;67;0.03
-1;66.6;0.03
-1.5;65.64;0.03
-2;64.07;0.04
-2.5;62.06;0.05
-3;59.1;0.06
-3.5;54.3;0.1
-4;46.9;0.3
-4.5;38;0.6
-5;39;0.6
-5.5;33;1
